order_id,order_date,customer_id,sku,qty,unit_price,region,status
1001,2025-11-01,C-204,SKU-A12,2,19.99,LATAM,completed
1002,2025-11-01,C-118,SKU-B07,1,49.50,NA,completed
1003,2025-11-02,C-204,SKU-A12,1,,LATAM,completed
1004,2025-11-02,C-331,SKU-C03,3,12.00,EU,cancelled
1005,2025-11-03,,SKU-B07,2,49.50,NA,completed
1002,2025-11-01,C-118,SKU-B07,1,49.50,NA,completed
1006,2025-11-03,C-512,SKU-D19,5,8.25,LATAM,completed
1007,2025-11-04,C-118,SKU-A12,,19.99,NA,pending
1008,2025-11-04,C-900,SKU-E01,1,120.00,APAC,completed
1009,2025-11-05,C-331,SKU-C03,2,12.00,EU,completed
1010,2025-11-05,C-204,SKU-A12,4,19.99,LATAM,completed
1011,,C-777,SKU-B07,1,49.50,NA,completed
1012,2025-11-06,C-512,SKU-D19,2,8.25,LATAM,completed
